EPEiD,EYara,EDateSusp,EEPSusp,ECRCSusp,ESuspEntropy,ENumberofSections,ESuspiciousStrings,Malware,ClassesMal
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,1,benigno,benigno
WinZip,shellcode,0,0,1,1,5,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,?,?,?,?,?,1,benigno,benigno
None,shellcode,?,?,?,?,?,1,benigno,benigno
UPX,None,?,?,?,?,?,1,benigno,benigno
Dev-C++,None,0,0,0,1,5,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,1,0,0,1,8,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,None,1,0,1,1,2,0,benigno,benigno
None,None,1,0,1,1,2,0,benigno,benigno
None,None,1,0,1,1,2,0,benigno,benigno
None,None,1,0,1,1,2,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,0,1,0,1,9,1,benigno,benigno
None,shellcode,0,1,0,1,9,1,benigno,benigno
UPX,shellcode,0,1,0,1,3,1,benigno,benigno
UPX,shellcode,0,1,0,1,3,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,0,0,0,0,4,1,benigno,benigno
None,None,0,0,0,0,4,1,benigno,benigno
None,shellcode,0,0,0,1,4,1,benigno,benigno
InstallShield,shellcode,0,0,1,0,4,1,benigno,benigno
InstallShield,shellcode,0,0,1,0,4,1,benigno,benigno
InstallShield,shellcode,0,0,1,0,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
ASPack,None,0,1,1,1,6,1,benigno,benigno
ASPack,None,0,1,1,1,6,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
PESpin,None,1,1,1,1,5,1,benigno,benigno
PEtite,None,0,1,1,1,4,1,benigno,benigno
UPX,None,0,1,1,1,3,1,benigno,benigno
UPX,None,0,1,1,1,3,1,benigno,benigno
WWPack32,None,0,1,1,0,5,1,benigno,benigno
WWPack32,None,0,1,1,0,5,1,benigno,benigno
ExeShield,None,0,1,1,1,4,1,benigno,benigno
None,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,1,1,1,3,1,benigno,benigno
None,None,0,1,1,0,1,1,benigno,benigno
None,None,0,1,1,0,1,1,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,None,0,1,1,1,3,0,benigno,benigno
None,None,0,1,1,1,3,0,benigno,benigno
WinZip,embedded_macho,1,0,1,0,6,1,benigno,benigno
WinZip,shellcode,0,0,1,1,5,1,benigno,benigno
None,None,0,0,0,1,7,1,benigno,benigno
None,None,0,0,0,1,7,1,benigno,benigno
None,None,0,0,0,1,9,1,benigno,benigno
None,None,0,0,0,1,9,1,benigno,benigno
PECompact,shellcode,0,0,0,1,2,1,benigno,benigno
None,shellcode,0,0,0,0,4,1,benigno,benigno
None,shellcode,0,0,0,0,4,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
